Genesis	Gen.
Exodus	Ex.
Leviticus	Lev.
Numbers	Num.
Deuteronomy	Deut.
Joshua	Josh.
Judges	Judges
Ruth	Ruth
1 Samuel	1 Sam.
2 Samuel	2 Sam.
1 Kings	1 Kings
2 Kings	2 Kings
1 Chronicles	1 Chron.
2 Chronicles	2 Chron.
Ezra	Ezra
Nehemiah	Neh.
Esther	Esther
Job	Job
Psalms	Psalms
Proverbs	Prov.
Ecclesiastes	Ec.
Song of Solomon	Song.
Isaiah	Isa.
Jeremiah	Jer.
Lamentations	Lam.
Ezekiel	Eze.
Daniel	Daniel
Hosea	Hosea
Joel	Joel
Amos	Amos
Obadiah	Ob.
Jonah	Jonah
Micah	Micah
Nahum	Nahum
Habakkuk	Hab.
Zephaniah	Zeph.
Haggai	Haggai
Zechariah	Zech.
Malachi	Mal.
Matthew	Matt.
Mark	Mark
Luke	Luke
John	John
Acts	Acts
Romans	Romans
1 Corinthians	1 Cor.
2 Corinthians	2 Cor.
Galatians	Gal.
Ephesians	Eph.
Philippians	Phil.
Colossians	Col.
1 Thessalonians	1 Thes.
2 Thessalonians	2 Thes.
1 Timothy	1 Tim.
2 Timoty	2 Tim.
Titus	Titus
Philemon	Phil.
Hebrews	Heb.
James	James
1 Peter	1 Peter
2 Peter	2 Peter
1 John	1 John
2 John	2 John
3 John	3 John
Jude	Jude
Revelation	Rev.
